OrdemN, IJ, JI
58, 0.000018, 0.000018
1029, 0.008563, 0.011244
2078, 0.024751, 0.043194
3094, 0.052272, 0.116406
4082, 0.090529, 0.223404
5007, 0.140922, 0.340787
6017, 0.198810, 0.542353
7067, 0.271599, 0.782960
8021, 0.348692, 1.064152
9035, 0.443182, 1.425846
10059, 0.547221, 2.147897
11079, 0.682186, 2.662984
12044, 0.794962, 2.968661
13095, 0.941241, 3.517147
14030, 1.072975, 4.110986
15067, 1.236343, 5.331133
16033, 1.483393, 7.237344
17091, 1.592400, 7.501598
18080, 2.432413, 8.747333
19043, 2.019704, 10.302990
20073, 2.213018, 10.234975
21050, 2.400752, 13.928739
22008, 2.696818, 19.838109
23021, 2.981009, 18.601235
24007, 3.305868, 18.686455
25087, 3.533529, 21.831947
26031, 3.807874, 23.492213
27092, 4.122949, 26.128244
28000, 4.397153, 32.665435
29051, 4.602498, 31.621843
30009, 5.195084, 35.128234
