ordemN, IJ, JI
         807 ,   6.2959999999999995E-003 ,   1.0000000000010001E-006
        1532 ,   2.0975000000000008E-002 ,   1.0000000000010001E-006
        2205 ,   5.4076999999999986E-002 ,   2.0000000000020002E-006
        3430 ,  0.14362099999999994      ,   9.9999999991773336E-007
        4382 ,  0.23810400000000009      ,   9.9999999991773336E-007
        5499 ,  0.37276099999999990      ,   9.9999999969568876E-007
        6977 ,  0.63461100000000004      ,   1.0000000001397780E-006
        7714 ,  0.76231700000000036      ,   1.9999999993913775E-006
        8699 ,   1.0745170000000002      ,   1.9999999985031991E-006
        9796 ,   1.4391069999999999      ,   1.0000000010279564E-006
       10309 ,   1.6850220000000000      ,   2.0000000002795559E-006
       11393 ,   2.3089189999999995      ,   1.0000000010279564E-006
       12464 ,   3.0645570000000006      ,   1.0000000010279564E-006
       13229 ,   4.0238559999999985      ,   1.0000000010279564E-006
       14711 ,   4.8707739999999973      ,   9.9999999747524271E-007
       15828 ,   5.1988199999999978      ,   1.0000000045806701E-006
       16877 ,   6.2312250000000020      ,   2.0000000020559128E-006
       17263 ,   6.4944670000000073      ,   9.9999999747524271E-007
       18176 ,   10.166427999999996      ,   1.9999999949504854E-006
       19569 ,   9.1022719999999993      ,   9.9999999747524271E-007
       20447 ,   9.5249310000000094      ,   1.0000000116860974E-006
       21538 ,   11.655092000000010      ,   9.9999999747524271E-007
       22752 ,   16.044972999999999      ,   9.9999999747524271E-007
       23705 ,   14.704316000000006      ,   9.9999999747524271E-007
       24951 ,   16.306994000000003      ,   1.9999999949504854E-006
       25442 ,   16.988598999999994      ,   3.0000000208474376E-006
       26954 ,   21.318008999999989      ,   9.9999999747524271E-007
       27412 ,   23.628485999999953      ,   9.9999999747524271E-007
       28877 ,   27.969113999999990      ,   1.9999999949504854E-006
       29097 ,   28.543010000000038      ,   9.9999999747524271E-007
       30138 ,   33.371584999999982      ,   2.9999999924257281E-006
